PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_14	chr6	52259419	52260605	+	706	NA	exon (NM_008264, exon 3 of 4)	exon (NM_008264, exon 3 of 4)	868	NM_008264	15398	Mm.377086	NM_008264		Hoxa13	Hd|Hox-1.10	homeobox A13	protein-coding
Peak_15	chr2	181038779	181039039	+	697	NA	intron (NM_015730, intron 1 of 5)	CpG	268	NM_015730	11438	Mm.252369	NM_015730	ENSMUSG00000027577	Chrna4	Acra-4|Acra4|EBN1|ENFL1	cholinergic receptor, nicotinic, alpha polypeptide 4	protein-coding
Peak_16	chr8	92358023	92359696	+	691	NA	intron (NM_018826, intron 1 of 2)	CpG	1063	NM_018826	54352	Mm.101153	NM_018826	ENSMUSG00000031737	Irx5	-	Iroquois homeobox 5	protein-coding
Peak_17	chr8	75213266	75215112	+	683	NA	intron (NM_029182, intron 1 of 2)	intron (NM_029182, intron 1 of 2)	245	NM_029182	75141	Mm.179267	NM_029182	ENSMUSG00000034472	Rasd2	4930526B11Rik|AU045414|Rhes|TEM-2|TEM2	RASD family, member 2	protein-coding
Peak_18	chr10	93640990	93641700	+	680	NA	5' UTR (NM_021320, exon 1 of 10)	5' UTR (NM_021320, exon 1 of 10)	296	NM_021320	57764	Mm.483868	NM_021320	ENSMUSG00000020019	Ntn4	-	netrin 4	protein-coding
Peak_19	chr4	66403630	66404919	+	674	NA	exon (NM_019514, exon 1 of 22)	exon (NM_019514, exon 1 of 22)	209	NM_019514	56079	Mm.445312	NM_019514	ENSMUSG00000028373	Astn2	1d8|Astnl|bM452J22.1	astrotactin 2	protein-coding
Peak_20	chr8	22974325	22974876	+	671	NA	promoter-TSS (NM_001277280)	promoter-TSS (NM_001277280)	-236	NM_001110783	11733	Mm.334444	NM_031158	ENSMUSG00000031543	Ank1	Ank-1|nb|pale	ankyrin 1, erythroid	protein-coding
Peak_21	chr15	102990429	102990857	+	669	NA	5' UTR (NM_010466, exon 1 of 2)	5' UTR (NM_010466, exon 1 of 2)	104	NM_010466	15426	Mm.6167	NM_010466	ENSMUSG00000001657	Hoxc8	D130011F21Rik|Hox-3.1	homeobox C8	protein-coding
Peak_22	chr8	46740462	46741457	+	669	NA	intron (NR_152560, intron 1 of 7)	CpG	1214	NM_008391	16363	Mm.1149	NM_008391	ENSMUSG00000031627	Irf2	9830146E22Rik|AI646973|Irf-2	interferon regulatory factor 2	protein-coding
Peak_23	chr11	96344338	96345777	+	660	NA	intron (NM_001079869, intron 3 of 3)	intron (NM_001079869, intron 3 of 3)	1288	NM_010458	15410	Mm.342481	NM_010458	ENSMUSG00000048763	Hoxb3	Hox-2.7	homeobox B3	protein-coding
Peak_24	chr1	34750227	34751114	+	660	NA	Intergenic	CpG	-51052	NM_183019	226970	Mm.41604	NM_183019	ENSMUSG00000037509	Arhgef4	9330140K16Rik|Asef	Rho guanine nucleotide exchange factor (GEF) 4	protein-coding
Peak_25	chr17	27512031	27513676	+	654	NA	Intergenic	CpG	-9320	NM_001013385	268934	Mm.358940	NM_001013385	ENSMUSG00000063239	Grm4	Gprc1d|mGluR4	glutamate receptor, metabotropic 4	protein-coding
Peak_26	chr14	19417672	19418311	+	651	NA	Intergenic	GSAT_MM|Satellite|Satellite	184596	NM_001024706	432825	Mm.327147	NM_001024706	ENSMUSG00000095024	Gm5458	EG432825	predicted gene 5458	protein-coding
Peak_27	chr8	57320451	57322273	+	646	NA	promoter-TSS (NR_110474)	promoter-TSS (NR_110474)	379	NM_010402	15111	Mm.430844	NM_010402	ENSMUSG00000038193	Hand2	AI225906|AI661148|Ehand2|Hed|Th2|Thing2|bHLHa26|dHAND	heart and neural crest derivatives expressed 2	protein-coding
Peak_28	chr8	12398530	12399031	+	629	NA	3' UTR (NM_009233, exon 1 of 1)	3' UTR (NM_009233, exon 1 of 1)	3261	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
Peak_29	chr2	71531907	71532325	+	626	NA	non-coding (NR_002854, exon 2 of 2)	non-coding (NR_002854, exon 2 of 2)	2671	NM_010053	13390	Mm.475101	NM_010053	ENSMUSG00000041911	Dlx1	Dlx|Dlx-1	distal-less homeobox 1	protein-coding
Peak_30	chr12	109052213	109054177	+	623	NA	intron (NM_001163175, intron 1 of 6)	CpG-3504	15022	NM_001163175	380785	Mm.342085	NM_001163175	ENSMUSG00000040867	Begain	BM948371|Gm897	brain-enriched guanylate kinase-associated	protein-coding
Peak_32	chr9	110742353	110743897	+	623	NA	promoter-TSS (NM_001083936)	promoter-TSS (NM_001083936)	-515	NM_001083936	19228	Mm.3542	NM_011199	ENSMUSG00000032492	Pth1r	PPR|Pthr|Pthr1	parathyroid hormone 1 receptor	protein-coding
Peak_31	chr4	139092381	139093362	+	623	NA	promoter-TSS (NM_008675)	promoter-TSS (NM_008675)	99	NM_008675	17965	Mm.9404	NM_008675	ENSMUSG00000041120	Nbl1	D4H1S1733E|DAN|Dana|NO3	neuroblastoma, suppression of tumorigenicity 1	protein-coding
Peak_33	chr11	96351262	96352395	+	614	NA	exon (NM_134032, exon 1 of 2)	exon (NM_134032, exon 1 of 2)	196	NM_134032	103889	Mm.281153	NM_134032	ENSMUSG00000075588	Hoxb2	AI894218|Hox-2.8|Hoxbes2	homeobox B2	protein-coding
Peak_34	chr11	102948670	102948831	+	609	NA	Intergenic	CpG	-2289	NM_011795	23829	Mm.57154	NM_011795	ENSMUSG00000045532	C1ql1	C1qrf|CRF|CTRP14|gliacolin	complement component 1, q subcomponent-like 1	protein-coding
Peak_35	chr2	146222120	146223279	+	606	NA	exon (NM_016889, exon 1 of 1)	exon (NM_016889, exon 1 of 1)	702	NM_016889	53626	Mm.379070	NM_016889	ENSMUSG00000068154	Insm1	IA-1	insulinoma-associated 1	protein-coding
Peak_38	chr16	18581768	18583036	+	603	NA	exon (NM_001285476, exon 7 of 7)	exon (NM_001285476, exon 7 of 7)	4567	NM_011532	21380	Mm.295194	NM_011532	ENSMUSG00000009097	Tbx1	-	T-box 1	protein-coding
Peak_36	chr13	98355248	98356474	+	603	NA	exon (NM_008242, exon 1 of 1)	exon (NM_008242, exon 1 of 1)	1616	NM_008242	15229	Mm.347441	NM_008242	ENSMUSG00000078302	Foxd1	AI385632|BF-2|FREAC4|Hfh10|Hfhbf2	forkhead box D1	protein-coding
Peak_37	chr1	87264333	87265075	+	603	NA	non-coding (NR_151447, exon 1 of 5)	non-coding (NR_151447, exon 1 of 5)	351	NM_028889	98363	Mm.247951	NM_028889	ENSMUSG00000026255	Efhd1	4931430I01Rik|AI452351|PP3051|mitocalcin	EF hand domain containing 1	protein-coding
Peak_39	chr3	154328629	154328938	+	600	NA	intron (NM_010713, intron 1 of 8)	CpG-9681	1777	NM_010713	16875	Mm.15530	NM_010713	ENSMUSG00000096225	Lhx8	L3|Lhx7	LIM homeobox protein 8	protein-coding
Peak_41	chr8	91798908	91800492	+	594	NA	exon (NM_008393, exon 2 of 4)	exon (NM_008393, exon 2 of 4)	1954	NM_001253822	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
Peak_43	chr7	25178804	25179401	+	594	NA	Intergenic	CT-rich|Low_complexity|Low_complexity	24033	NR_045848	434147	Mm.59171	NM_001033781	ENSMUSG00000074274	D930028M14Rik	EG434147	RIKEN cDNA D930028M14 gene	ncRNA
Peak_40	chr6	52244515	52246042	+	594	NA	promoter-TSS (NR_015348)	promoter-TSS (NR_015348)	35	NR_015348	15397	Mm.469918	NR_015348	ENSMUSG00000086427	Hoxa11os	Hoxa11as|Hoxa11s	homeobox A11, opposite strand	ncRNA
Peak_42	chr1	42696342	42698111	+	594	NA	promoter-TSS (NM_008900)	promoter-TSS (NM_008900)	80	NM_008900	18993	Mm.440553	NM_008900	ENSMUSG00000045515	Pou3f3	Brn-1|Brn1|HST011|Otf8|Skin1|urehr2	POU domain, class 3, transcription factor 3	protein-coding
Peak_44	chr8	108704358	108705160	+	592	NA	Intergenic	CpG	-9885	NM_007496	11906	Mm.416972	NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|Sci|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding
Peak_45	chr8	26978184	26979860	+	589	NA	exon (NM_001101502, exon 2 of 2)	exon (NM_001101502, exon 2 of 2)	1686	NM_001101502	353310	Mm.212469	NM_001101502	ENSMUSG00000085795	Zfp703	1110032O19Rik|AI430822|AL022941|Csmn1|End2|Zeppo1|Znf703|Zpo1	zinc finger protein 703	protein-coding
Peak_46	chr18	82911783	82912679	+	586	NA	intron (NM_183033, intron 1 of 5)	intron (NM_183033, intron 1 of 5)	1352	NM_183033	329003	Mm.326526	NM_183033	ENSMUSG00000058881	Zfp516	C330029B10Rik|D230016L03|Zfp26l|Znf516|mKIAA0222	zinc finger protein 516	protein-coding
Peak_47	chr11	75794410	75796543	+	580	NA	promoter-TSS (NR_136932)	promoter-TSS (NR_136932)	-333	NR_136932	102641247	Mm.411386	NR_136932		Gm12339	-	predicted gene 12339	ncRNA
Peak_48	chr11	18876575	18877381	+	577	NA	Intergenic	(CCCCAG)n|Simple_repeat|Simple_repeat	141991	NM_001193271	17268	Mm.356578	NM_010789	ENSMUSG00000020160	Meis1	C530044H18Rik|Evi8	Meis homeobox 1	protein-coding
Peak_49	chr8	26977297	26978106	+	572	NA	intron (NM_001101502, intron 1 of 1)	CpG	365	NM_001101502	353310	Mm.212469	NM_001101502	ENSMUSG00000085795	Zfp703	1110032O19Rik|AI430822|AL022941|Csmn1|End2|Zeppo1|Znf703|Zpo1	zinc finger protein 703	protein-coding
Peak_50	chr8	57334120	57335041	+	569	NA	intron (NR_131041, intron 1 of 2)	intron (NR_131041, intron 1 of 2)	2145	NR_131041	75996	Mm.399754	NR_131041	ENSMUSG00000097910	5033428I22Rik	-	RIKEN cDNA 5033428I22 gene	ncRNA
Peak_52	chr8	91800661	91801491	+	566	NA	exon (NM_008393, exon 1 of 4)	exon (NM_008393, exon 1 of 4)	578	NM_001253822	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
Peak_51	chr8	84773068	84773268	+	566	NA	intron (NM_001081982, intron 1 of 9)	intron (NM_001081982, intron 1 of 9)	1201	NM_001081981	18032	Mm.9394	NM_010906	ENSMUSG00000001911	Nfix	CTF|NF-I/X|NF1-X|NFI-X	nuclear factor I/X	protein-coding
Peak_54	chr15	80286774	80287829	+	563	NA	promoter-TSS (NM_001044308)	promoter-TSS (NM_001044308)	63	NM_001044308	239556	Mm.291058	NM_001044308	ENSMUSG00000022416	Cacna1i	Ca(V)3.3	calcium channel, voltage-dependent, alpha 1I subunit	protein-coding
Peak_53	chr11	95010277	95010777	+	563	NA	5' UTR (NM_146025, exon 1 of 10)	5' UTR (NM_146025, exon 1 of 10)	648	NM_146025	217125	Mm.297199	NM_146025	ENSMUSG00000047181	Samd14	AI839049|AI854782|BC034054	sterile alpha motif domain containing 14	protein-coding
Peak_55	chr8	19535078	19536298	+	563	NA	Intergenic	CpG	40591	NM_139220	246080	Mm.207067	NM_139220	ENSMUSG00000037790	Defb7	BD-7|Defb15	defensin beta 7	protein-coding
Peak_57	chr18	80008736	80008921	+	560	NA	Intergenic	MTD-int|LTR|ERVL-MaLR	-38067	NM_053117	93737	Mm.24678	NM_053117	ENSMUSG00000056214	Pard6g	2410049N21Rik|Par6a	par-6 family cell polarity regulator gamma	protein-coding
Peak_56	chr14	122489685	122490255	+	560	NA	intron (NR_153443, intron 1 of 24)	intron (NR_153443, intron 1 of 24)	5605	NR_153443	110821	Mm.23876	NM_144844	ENSMUSG00000041650	Pcca	C79630	propionyl-Coenzyme A carboxylase, alpha polypeptide	protein-coding
Peak_58	chr7	70359559	70360505	+	557	NA	exon (NM_009697, exon 1 of 3)	exon (NM_009697, exon 1 of 3)	561	NM_009697	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
Peak_59	chr19	7164753	7166514	+	554	NA	intron (NM_134147, intron 3 of 10)	CpG	40651	NM_134150	107260	Mm.203921	NM_134150	ENSMUSG00000024767	Otub1	AI850305	OTU domain, ubiquitin aldehyde binding 1	protein-coding
Peak_60	chr2	18677182	18678220	+	546	NA	intron (NM_007552, intron 1 of 9)	(CCGCG)n|Simple_repeat|Simple_repeat	683	NM_007552	12151	Mm.289584	NM_007552	ENSMUSG00000026739	Bmi1	AW546694|Bmi-1|Pcgf4	Bmi1 polycomb ring finger oncogene	protein-coding
Peak_61	chr18	80987052	80988476	+	540	NA	Intergenic	CpG-7134	-1186	NM_178280	20689	Mm.215917	NM_178280	ENSMUSG00000024565	Sall3	B130022O04Rik|Msal|Msal-1|Sal|Salt|Spalt	spalt like transcription factor 3	protein-coding
Peak_63	chr6	52225291	52226305	+	537	NA	exon (NM_010456, exon 1 of 2)	exon (NM_010456, exon 1 of 2)	1572	NM_010456	15405	Mm.4694	NM_010456	ENSMUSG00000038227	Hoxa9	D6a9|Hox-1.7	homeobox A9	protein-coding
Peak_64	chr11	3187239	3187406	+	537	NA	exon (NM_030207, exon 3 of 33)	exon (NM_030207, exon 3 of 33)	6141	NM_030207	78887	Mm.394071	NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
Peak_62	chr4	97776018	97776321	+	537	NA	intron (NM_001122952, intron 1 of 10)	intron (NM_001122952, intron 1 of 10)	-1457	NM_010905	18027	Mm.31274	NM_010905	ENSMUSG00000028565	Nfia	1110047K16Rik|9430022M17Rik|CTF|NF1-A|NF1A	nuclear factor I/A	protein-coding
Peak_65	chr13	31807748	31808189	+	534	NA	exon (NM_008592, exon 1 of 1)	exon (NM_008592, exon 1 of 1)	1322	NM_008592	17300	Mm.12949	NM_008592	ENSMUSG00000050295	Foxc1	FREAC3|Fkh1|Mf1|Mf4|ch|fkh-1|frkhda	forkhead box C1	protein-coding
Peak_66	chr13	95222503	95223095	+	532	NA	exon (NM_001170669, exon 1 of 19)	exon (NM_001170669, exon 1 of 19)	251	NM_001170669	218461	Mm.100167	NM_172263	ENSMUSG00000021684	Pde8b	B230331L10Rik|C030047E14Rik	phosphodiesterase 8B	protein-coding
Peak_67	chr8	27085737	27087203	+	532	NA	intron (NM_054044, intron 1 of 18)	intron (NM_054044, intron 1 of 18)	629	NM_054044	78560	Mm.87046	NM_054044	ENSMUSG00000031486	Adgra2	8430414O08Rik|9530074E10Rik|Gpr124|Tem5|mKIAA1531	adhesion G protein-coupled receptor A2	protein-coding
Peak_68	chr6	52175603	52176948	+	529	NA	intron (NM_010452, intron 3 of 4)	intron (NM_010452, intron 3 of 4)	3394	NR_152256	100504154	Mm.440491	NR_152256	ENSMUSG00000087626	Gm15050	-	predicted gene 15050	ncRNA
Peak_69	chr15	102997891	102998140	+	529	NA	Intergenic	Intergenic	7476	NM_010466	15426	Mm.6167	NM_010466	ENSMUSG00000001657	Hoxc8	D130011F21Rik|Hox-3.1	homeobox C8	protein-coding
Peak_71	chr3	158560835	158561886	+	526	NA	5' UTR (NM_001291452, exon 1 of 27)	5' UTR (NM_001291452, exon 1 of 27)	861	NM_001291452	242274	Mm.132162	NM_001081358	ENSMUSG00000028176	Lrrc7	AK122498|densin|mKIAA1365	leucine rich repeat containing 7	protein-coding
Peak_72	chr11	3186686	3187035	+	526	NA	intron (NM_030207, intron 3 of 32)	intron (NM_030207, intron 3 of 32)	6603	NM_030207	78887	Mm.394071	NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
Peak_70	chr8	84773346	84774064	+	526	NA	5' UTR (NM_001081981, exon 1 of 11)	5' UTR (NM_001081981, exon 1 of 11)	664	NM_001081981	18032	Mm.9394	NM_010906	ENSMUSG00000001911	Nfix	CTF|NF-I/X|NF1-X|NFI-X	nuclear factor I/X	protein-coding
Peak_77	chr5	106457209	106457911	+	523	NA	exon (NM_001005477, exon 1 of 3)	exon (NM_001005477, exon 1 of 3)	606	NM_001005477	104382	Mm.271593	NM_001005477	ENSMUSG00000034384	Barhl2	E130309B19Rik|MBH1	BarH like homeobox 2	protein-coding
Peak_75	chr18	76859548	76860215	+	523	NA	exon (NM_001109743, exon 2 of 9)	exon (NM_001109743, exon 2 of 9)	3476	NM_001109743	664805	Mm.329543	NM_001109743	ENSMUSG00000091519	Skor2	Corl2|EG664805|Fussel18|Gm7348	SKI family transcriptional corepressor 2	protein-coding
Peak_76	chr3	88200527	88201231	+	523	NA	Intergenic	CpG	-14292	NR_037276	100526540		NR_037276	ENSMUSG00000092988	Mir3093	mir-3093|mmu-mir-3093	microRNA 3093	ncRNA
Peak_74	chr8	125053904	125055362	+	523	NA	intron (NM_174854, intron 1 of 12)	CpG	438	NM_174853	244667	Mm.233504	NM_170596	ENSMUSG00000043051	Disc1	-	disrupted in schizophrenia 1	protein-coding
Peak_73	chr19	44756437	44757579	+	523	NA	promoter-TSS (NM_011037)	promoter-TSS (NM_011037)	-386	NM_011037	18504	Mm.192158	NM_011037	ENSMUSG00000004231	Pax2	Opdc|Pax-2	paired box 2	protein-coding
Peak_79	chr8	70491895	70494300	+	514	NA	promoter-TSS (NM_018827)	promoter-TSS (NM_018827)	-34	NM_018827	12931	Mm.335584	NM_018827	ENSMUSG00000007888	Crlf1	CLF-1|CRLM-3|CRLM3|NR6|NR6.1	cytokine receptor-like factor 1	protein-coding
Peak_80	chr8	84799317	84800562	+	514	NA	intron (NM_001081982, intron 1 of 9)	C-rich|Low_complexity|Low_complexity	399	NM_001081982	18032	Mm.9394	NM_010906	ENSMUSG00000001911	Nfix	CTF|NF-I/X|NF1-X|NFI-X	nuclear factor I/X	protein-coding
Peak_78	chr1	155098283	155099517	+	514	NA	exon (NM_010500, exon 1 of 1)	exon (NM_010500, exon 1 of 1)	736	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
Peak_81	chr3	30512463	30512922	+	514	NA	Intergenic	Intergenic	-3017	NM_001361034	14013	Mm.56965	NM_007963	ENSMUSG00000027684	Mecom	D630039M04Rik|Evi-1|Evi1|Jbo|Mds|Mds1|Mds1-Evi1|Prdm3|Znfpr1b1	MDS1 and EVI1 complex locus	protein-coding
Peak_84	chr6	83069176	83070502	+	512	NA	exon (NM_009392, exon 1 of 3)	exon (NM_009392, exon 1 of 3)	386	NM_009392	21909	Mm.37	NM_009392	ENSMUSG00000068327	Tlx2	Enx|Hox11L.1|Hox11l1|NCX|Ncx1|Tlx1l1|Tlx1l2	T cell leukemia, homeobox 2	protein-coding
Peak_82	chr7	70281464	70281629	+	512	NA	intron (NR_131144, intron 3 of 3)	CpG	56276	NR_131145	624549	Mm.116344	NR_131144	ENSMUSG00000109097	Gm29683	Gm44536	predicted gene, 29683	ncRNA
Peak_83	chr6	119106981	119108017	+	512	NA	intron (NM_009781, intron 1 of 46)	CpG	996	NM_001159535	12288	Mm.41628	NM_009781	ENSMUSG00000051331	Cacna1c	Cav1.2|Cchl1a1|D930026N18Rik|MBC|MELC-CC	calcium channel, voltage-dependent, L type, alpha 1C subunit	protein-coding
Peak_85	chr2	180892868	180894445	+	509	NA	promoter-TSS (NR_029538)	promoter-TSS (NR_029538)	-384	NR_029538	723951		NR_029538	ENSMUSG00000065454	Mir124a-3	Mirn124a-3|mir-124-3|mir-124a-3	microRNA 124a-3	ncRNA
Peak_86	chr4	139831046	139832875	+	509	NA	intron (NM_011039, intron 1 of 8)	CpG	1008	NM_011039	18509	Mm.218760	NM_011039	ENSMUSG00000028736	Pax7	Pax-7	paired box 7	protein-coding
Peak_88	chr2	93956529	93957368	+	506	NA	5' UTR (NM_001145034, exon 1 of 1)	5' UTR (NM_001145034, exon 1 of 1)	152	NM_001145034	620695	Mm.482106	NM_001145034	ENSMUSG00000087006	Gm13889	Ag2	predicted gene 13889	protein-coding
Peak_91	chr11	96273058	96273417	+	506	NA	intron (NM_008270, intron 1 of 1)	intron (NM_008270, intron 1 of 1)	1907	NM_008270	15417	Mm.258271	NM_008270	ENSMUSG00000020875	Hoxb9	Hox-2.5	homeobox B9	protein-coding
Peak_95	chr5	53212919	53213898	+	506	NA	promoter-TSS (NM_172710)	promoter-TSS (NM_172710)	44	NM_172710	231238	Mm.235020	NM_172710	ENSMUSG00000029189	Sel1l3	2310045A20Rik|AI429585|mKIAA0746	sel-1 suppressor of lin-12-like 3 (C. elegans)	protein-coding
Peak_96	chr6	118479423	118479599	+	506	NA	promoter-TSS (NM_011763)	promoter-TSS (NM_011763)	-238	NM_011763	22750	Mm.106970	NM_011763	ENSMUSG00000072623	Zfp9	1810048F22Rik|AU016736|Krox-4|Zfp-9|mszf79-2	zinc finger protein 9	protein-coding
Peak_89	chr9	95559071	95560133	+	506	NA	promoter-TSS (NM_198414)	promoter-TSS (NM_198414)	-215	NM_198414	75552	Mm.151485	NM_198414	ENSMUSG00000064225	Paqr9	1700020G04Rik	progestin and adipoQ receptor family member IX	protein-coding
Peak_94	chr16	94082874	94083457	+	506	NA	Intergenic	Intergenic	-2095	NM_011377	20465	Mm.4775	NM_011377	ENSMUSG00000062713	Sim2	bHLHe15	single-minded family bHLH transcription factor 2	protein-coding
Peak_87	chr6	84588058	84588216	+	506	NA	5' UTR (NM_175475, exon 2 of 7)	5' UTR (NM_175475, exon 2 of 7)	5673	NM_175475	232174	Mm.255246	NM_175475	ENSMUSG00000063415	Cyp26b1	CP26|P450RAI-2	cytochrome P450, family 26, subfamily b, polypeptide 1	protein-coding
Peak_92	chr13	40736937	40738244	+	506	NA	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-2670	NM_001301674	21418	Mm.85544	NM_011547	ENSMUSG00000021359	Tfap2a	AP-2|AP2alpha|Ap-2 (a)|Ap2|Ap2tf|Tcfap2a	transcription factor AP-2, alpha	protein-coding
Peak_90	chr8	121729474	121730307	+	506	NA	promoter-TSS (NM_020605)	promoter-TSS (NM_020605)	-669	NM_020605	57340	Mm.306870	NM_020605	ENSMUSG00000025318	Jph3	JP-3|Jp3	junctophilin 3	protein-coding
Peak_93	chr15	80287879	80288192	+	506	NA	intron (NM_001044308, intron 1 of 36)	CpG	797	NM_001044308	239556	Mm.291058	NM_001044308	ENSMUSG00000022416	Cacna1i	Ca(V)3.3	calcium channel, voltage-dependent, alpha 1I subunit	protein-coding
Peak_97	chr5	31092582	31093296	+	503	NA	intron (NM_001347323, intron 2 of 8)	CpG	588	NM_011773	22784	Mm.1396	NM_011773	ENSMUSG00000029151	Slc30a3	Znt3	solute carrier family 30 (zinc transporter), member 3	protein-coding
Peak_98	chr6	127149266	127149601	+	500	NA	promoter-TSS (NR_040274)	promoter-TSS (NR_040274)	44	NR_040274	77558	Mm.358918	NR_040273	ENSMUSG00000097166	9330179D12Rik	-	RIKEN cDNA 9330179D12 gene	ncRNA
